Date,Close
2/13/2020 16:00:00,7
2/14/2020 16:00:00,7.1
2/18/2020 16:00:00,7.04
2/19/2020 16:00:00,7.31
2/20/2020 16:00:00,7.76
2/21/2020 16:00:00,7.46
2/24/2020 16:00:00,7.05
2/25/2020 16:00:00,6.55
2/26/2020 16:00:00,5.93
2/27/2020 16:00:00,6.09
2/28/2020 16:00:00,6.26
3/2/2020 16:00:00,6.11
3/3/2020 16:00:00,5.81
3/4/2020 16:00:00,5.82
3/5/2020 16:00:00,4.92
3/6/2020 16:00:00,4.53
3/9/2020 16:00:00,3.85
3/10/2020 16:00:00,4.2
3/11/2020 16:00:00,3.64
3/12/2020 16:00:00,2.91
3/13/2020 16:00:00,3.22
3/16/2020 16:00:00,2.6
3/17/2020 16:00:00,2.48
3/18/2020 16:00:00,2.47
3/19/2020 16:00:00,3.37
3/20/2020 16:00:00,3.19
3/23/2020 16:00:00,3.15
3/24/2020 16:00:00,3.56
3/25/2020 16:00:00,3.46
3/26/2020 16:00:00,3.7
3/27/2020 16:00:00,3.6
3/30/2020 16:00:00,3.04
3/31/2020 16:00:00,3.16
4/1/2020 16:00:00,2.62
4/2/2020 16:00:00,2.24
4/3/2020 16:00:00,2.27
4/6/2020 16:00:00,2.88
4/7/2020 16:00:00,3.14
4/8/2020 16:00:00,3.3
4/9/2020 16:00:00,2.6
4/13/2020 16:00:00,2.08
4/14/2020 16:00:00,2.18
4/15/2020 16:00:00,2.41
4/16/2020 16:00:00,2.44
4/17/2020 16:00:00,3.2
4/20/2020 16:00:00,3.18
4/21/2020 16:00:00,3.25
4/22/2020 16:00:00,3.18
4/23/2020 16:00:00,3.11
4/24/2020 16:00:00,3.05
4/27/2020 16:00:00,3.36
4/28/2020 16:00:00,4.14
4/29/2020 16:00:00,5.19
4/30/2020 16:00:00,4.92
5/1/2020 16:00:00,4.57
5/4/2020 16:00:00,4.3
5/5/2020 16:00:00,3.89
5/6/2020 16:00:00,3.92
5/7/2020 16:00:00,3.99
5/8/2020 16:00:00,4.1
5/11/2020 16:00:00,5.32
5/12/2020 16:00:00,5.12
5/13/2020 16:00:00,4.6
5/14/2020 16:00:00,4.55
5/15/2020 16:00:00,4.52
5/18/2020 16:00:00,4.72
5/19/2020 16:00:00,4.56
