Date,Close
7/30/2020 16:00:00,1531.45
7/31/2020 16:00:00,1482.96
8/3/2020 16:00:00,1474.45
8/4/2020 16:00:00,1464.97
8/5/2020 16:00:00,1473.61
8/6/2020 16:00:00,1500.1
8/7/2020 16:00:00,1494.49
8/10/2020 16:00:00,1496.1
8/11/2020 16:00:00,1480.32
8/12/2020 16:00:00,1506.62
8/13/2020 16:00:00,1518.45
8/14/2020 16:00:00,1507.73
8/17/2020 16:00:00,1517.98
8/18/2020 16:00:00,1558.6
8/19/2020 16:00:00,1547.53
8/20/2020 16:00:00,1581.75
8/21/2020 16:00:00,1580.42
8/24/2020 16:00:00,1588.2
8/25/2020 16:00:00,1608.22
8/26/2020 16:00:00,1652.38
8/27/2020 16:00:00,1634.33
8/28/2020 16:00:00,1644.41
8/31/2020 16:00:00,1634.18
9/1/2020 16:00:00,1660.71
9/2/2020 16:00:00,1728.28
9/3/2020 16:00:00,1641.84
9/4/2020 16:00:00,1591.04
9/8/2020 16:00:00,1532.39
9/9/2020 16:00:00,1556.96
9/10/2020 16:00:00,1532.02
9/11/2020 16:00:00,1520.72
9/14/2020 16:00:00,1519.28
9/15/2020 16:00:00,1541.44
9/16/2020 16:00:00,1520.9
9/17/2020 16:00:00,1495.53
9/18/2020 16:00:00,1459.99
9/21/2020 16:00:00,1431.16
9/22/2020 16:00:00,1465.46
9/23/2020 16:00:00,1415.21
9/24/2020 16:00:00,1428.29
9/25/2020 16:00:00,1444.96
9/28/2020 16:00:00,1464.52
9/29/2020 16:00:00,1469.33
9/30/2020 16:00:00,1469.6
10/1/2020 16:00:00,1490.09
10/2/2020 16:00:00,1458.42
10/5/2020 16:00:00,1486.02
10/6/2020 16:00:00,1453.44
10/7/2020 16:00:00,1460.29
10/8/2020 16:00:00,1485.93
10/9/2020 16:00:00,1515.22
10/12/2020 16:00:00,1569.15
10/13/2020 16:00:00,1571.68
10/14/2020 16:00:00,1568.08
10/15/2020 16:00:00,1559.13
10/16/2020 16:00:00,1573.01
10/19/2020 16:00:00,1534.61
10/20/2020 16:00:00,1555.93
10/21/2020 16:00:00,1593.31
10/22/2020 16:00:00,1615.33
10/23/2020 16:00:00,1641
10/26/2020 16:00:00,1590.45
10/27/2020 16:00:00,1604.26
10/28/2020 16:00:00,1516.62
10/29/2020 16:00:00,1567.24
10/30/2020 16:00:00,1621.01
11/2/2020 16:00:00,1626.03
11/3/2020 16:00:00,1650.21
11/4/2020 16:00:00,1749.13
11/5/2020 16:00:00,1763.37
11/6/2020 16:00:00,1761.75
11/9/2020 16:00:00,1763
11/10/2020 16:00:00,1740.39
11/11/2020 16:00:00,1752.71
11/12/2020 16:00:00,1749.84
11/13/2020 16:00:00,1777.02
11/16/2020 16:00:00,1781.38
11/17/2020 16:00:00,1770.15
11/18/2020 16:00:00,1746.78
11/19/2020 16:00:00,1763.92
11/20/2020 16:00:00,1742.19
11/23/2020 16:00:00,1734.86
11/24/2020 16:00:00,1768.88
11/25/2020 16:00:00,1771.43
11/27/2020 13:00:00,1793.19
11/30/2020 16:00:00,1760.74
12/1/2020 16:00:00,1798.1
12/2/2020 16:00:00,1827.95
12/3/2020 16:00:00,1826.77
12/4/2020 16:00:00,1827.99
12/7/2020 16:00:00,1819.48
12/8/2020 16:00:00,1818.55
12/9/2020 16:00:00,1784.13
12/10/2020 16:00:00,1775.33
12/11/2020 16:00:00,1781.77
12/14/2020 16:00:00,1760.06
12/15/2020 16:00:00,1767.77
12/16/2020 16:00:00,1763
12/17/2020 16:00:00,1747.9
12/18/2020 16:00:00,1731.01
12/21/2020 16:00:00,1739.37
12/22/2020 16:00:00,1723.5
12/23/2020 16:00:00,1732.38
12/24/2020 13:00:00,1738.85
12/28/2020 16:00:00,1776.09
12/29/2020 16:00:00,1758.72
12/30/2020 16:00:00,1739.52
12/31/2020 16:00:00,1751.88
1/4/2021 16:00:00,1728.24
1/5/2021 16:00:00,1740.92
1/6/2021 16:00:00,1735.29
1/7/2021 16:00:00,1787.25
1/8/2021 16:00:00,1807.21
1/11/2021 16:00:00,1766.72
1/12/2021 16:00:00,1746.55
1/13/2021 16:00:00,1754.4
1/14/2021 16:00:00,1740.18
1/15/2021 16:00:00,1736.19
1/19/2021 16:00:00,1790.86
1/20/2021 16:00:00,1886.9
1/21/2021 16:00:00,1891.25
1/22/2021 16:00:00,1901.05
1/25/2021 16:00:00,1899.4
1/26/2021 16:00:00,1917.24
1/27/2021 16:00:00,1830.79
1/28/2021 16:00:00,1863.11
1/29/2021 16:00:00,1835.74
2/1/2021 16:00:00,1901.35
2/2/2021 16:00:00,1927.51
2/3/2021 16:00:00,2070.07
2/4/2021 16:00:00,2062.37
2/5/2021 16:00:00,2098
2/8/2021 16:00:00,2092.91
2/9/2021 16:00:00,2083.51
2/10/2021 16:00:00,2095.38
2/11/2021 16:00:00,2095.89
